"","app","category","reviews","installs","type_bin","grupo_edades","genre","size_num_imp","rating_imp","android_ver_imp","ano_act"
"26","THAI DICT 2018","EDUCATION",6673.4316,396371.74,"0","17+","Education",41465.92,4.4,4,"2018"
"27","Kanji test · Han search Kanji training (free version)","EDUCATION",6673.4316,396371.74,"0","17+","Education",22000,4.2,4,"2017"
"28","Game for KIDS: KIDS match'em","EDUCATION",6673.4316,396371.74,"0","4+","Education",6900,4.4,2.3,"2016"
"29","Flippy Campus - Buy & sell on campus at a discount","EDUCATION",889,396371.74,"0","4+","Education",7400,4,4.2,"2018"
"30","Free intellectual training game application |","EDUCATION",5741,396371.74,"0","4+","Education",41465.92,4.2,4.4,"2018"
"31","ABC Preschool Free","EDUCATION",6673.4316,396371.74,"0","4+","Education",25000,3.8,2.3,"2017"
"32","PINKFONG Baby Shark","EDUCATION",6673.4316,396371.74,"0","4+","Education",18000,4.5,4.1,"2017"
"33","English words application mikan","EDUCATION",6673.4316,396371.74,"0","4+","Education",15000,4.7,4.1,"2018"
"34","Learn English for beginners","EDUCATION",1929,396371.74,"0","4+","Education",2500,4.5,2.3,"2017"
"35","Listen and learn English in seven days","EDUCATION",1516,100000,"0","4+","Education",3900,4.3,4.1,"2018"
"36","Lumosity: #1 Brain Games & Cognitive Training App","EDUCATION",6673.4316,396371.74,"0","4+","Education",41465.92,4.2,4.1,"2018"
"37","Learn English from Persian: Persian to English","EDUCATION",423,100000,"0","4+","Education",21000,4.3,4,"2018"
"38","English with Lingualeo","EDUCATION",6673.4316,396371.74,"0","4+","Education",27000,4.7,4.1,"2018"
"39","Learn languages, grammar & vocabulary with Memrise","EDUCATION",6673.4316,396371.74,"0","4+","Education",14000,4.7,4.1,"2018"
"40","Quizlet: Learn Languages & Vocab with Flashcards","EDUCATION",6673.4316,396371.74,"0","4+","Education",17000,4.6,2.3,"2018"
"41","Udemy - Online Courses","EDUCATION",6673.4316,396371.74,"0","4+","Education",18000,4.5,5,"2018"
"42","Coursera: Online courses","EDUCATION",6673.4316,396371.74,"0","4+","Education",27000,4.4,4,"2018"
"43","edX - Online Courses by Harvard, MIT & more","EDUCATION",6673.4316,396371.74,"0","9+","Education",10000,4.6,4.1,"2018"
"44","Elevate - Brain Training Games","EDUCATION",6673.4316,396371.74,"0","4+","Education",6000,4.5,1.6,"2018"
"45","NeuroNation - Focus and Brain Training","EDUCATION",6673.4316,396371.74,"0","4+","Education",41465.92,4.5,4,"2018"
"46","Peak – Brain Games & Training","EDUCATION",6673.4316,396371.74,"0","4+","Education",2500,4.4,5,"2018"
"47","Memorado - Brain Games","EDUCATION",6673.4316,396371.74,"0","4+","Education",41465.92,4.4,4.1,"2017"
"48","Lynda - Online Training Videos","EDUCATION",6673.4316,396371.74,"0","4+","Education",17000,4.2,4.1,"2018"
"49","Brilliant","EDUCATION",6673.4316,396371.74,"0","4+","Education",41465.92,4.5,4.4,"2018"
"50","CppDroid - C/C++ IDE","EDUCATION",6673.4316,396371.74,"0","4+","Education",14000,4.1,2.3,"2017"
"51","Quiz&Learn Python","EDUCATION",304,10000,"0","4+","Education",2000,4,4,"2016"
"52","C++ Tutorials","EDUCATION",358,50000,"0","4+","Education",1900,4.1,2.3,"2014"
"53","C++ Programming","EDUCATION",6673.4316,396371.74,"0","4+","Education",1800,4.3,2.3,"2015"
"54","C Programming","EDUCATION",6673.4316,396371.74,"0","4+","Education",1800,4.3,2.3,"2015"
"55","Udacity - Lifelong Learning","EDUCATION",6673.4316,396371.74,"0","4+","Education",17000,4.3,5,"2018"
"56","Learn C++","EDUCATION",6673.4316,396371.74,"0","4+","Education",5300,4.6,4,"2017"
"57","Learn programming","EDUCATION",6673.4316,396371.74,"0","4+","Education",29,4.1,4,"2018"
"58","Learn JavaScript","EDUCATION",6673.4316,396371.74,"0","4+","Education",5400,4.6,4,"2017"
"59","Learn Java","EDUCATION",6673.4316,396371.74,"0","4+","Education",5400,4.7,4,"2017"
"60","Learn HTML","EDUCATION",6673.4316,396371.74,"0","4+","Education",5400,4.7,4,"2017"
"61","Programming Hub, Learn to code","EDUCATION",6673.4316,396371.74,"0","4+","Education",15000,4.3,4.1,"2018"
"62","Learn SQL","EDUCATION",6673.4316,396371.74,"0","4+","Education",5300,4.7,4,"2017"
"63","Ready4 SAT (Prep4 SAT)","EDUCATION",6673.4316,100000,"0","4+","Education",41465.92,4.6,4.4,"2018"
"64","Socratic - Math Answers & Homework Help","EDUCATION",6673.4316,396371.74,"0","4+","Education",5400,4.6,4.1,"2018"
"65","Ready4 GMAT (Prep4 GMAT)","EDUCATION",6673.4316,100000,"0","4+","Education",41465.92,4.6,4.4,"2018"
"66","Pocket GMAT Math","EDUCATION",656,10000,"0","4+","Education",556,4.3,2.2,"2014"
"67","GMAT Question Bank","EDUCATION",240,10000,"0","4+","Education",29000,4.2,2.3,"2015"
"68","GRE Tutor","EDUCATION",275,50000,"0","4+","Education",2300,4,2.1,"2013"
"69","GRE Flashcards","EDUCATION",6673.4316,396371.74,"0","4+","Education",4200,4.5,4.1,"2018"
"70","play2prep: ACT, SAT prep","EDUCATION",3692,100000,"0","4+","Education",4400,4.2,2.3,"2015"
"71","SAT Test","EDUCATION",2363,100000,"0","4+","Education",6600,4.1,4,"2016"
"72","GMAT Math Flashcards","EDUCATION",1769,100000,"0","4+","Education",8800,4.4,4.1,"2018"
"73","Pocket SAT Math","EDUCATION",430,10000,"0","4+","Education",526,4,2.1,"2014"
"74","TOEFL Prep & Practice from Magoosh","EDUCATION",756,100000,"0","4+","Education",12000,4.5,4.1,"2018"
"75","GRE Prep & Practice by Magoosh","EDUCATION",3963,100000,"0","4+","Education",8800,4.4,2.1,"2018"
"76","GRE® Flashcards by Kaplan","EDUCATION",316,50000,"0","4+","Education",29000,4,4,"2017"
"77","SAT Vocabulary","EDUCATION",642,50000,"0","4+","Education",8400,4.2,3,"2018"
"78","Magoosh GMAT Prep & Practice","EDUCATION",1058,100000,"0","4+","Education",19000,4.3,4.4,"2018"
"79","SAT Flashcards: Prep & Vocabulary","EDUCATION",2277,100000,"0","4+","Education",18000,4.2,4.1,"2017"
"80","Duolingo: Learn Languages Free","EDUCATION",6673.4316,396371.74,"0","4+","Education",14000,4.7,2.3,"2018"
"81","edX - Online Courses by Harvard, MIT & more","EDUCATION",6673.4316,396371.74,"0","9+","Education",10000,4.6,4.1,"2018"
"82","Rosetta Stone: Learn to Speak & Read New Languages","EDUCATION",6673.4316,396371.74,"0","4+","Education",41465.92,4.5,5,"2018"
"83","Google Classroom","EDUCATION",6673.4316,396371.74,"0","4+","Education",41465.92,4.2,4,"2018"
"84","Learn languages, grammar & vocabulary with Memrise","EDUCATION",6673.4316,396371.74,"0","4+","Education",8500,4.7,4,"2018"
"85","LinkedIn Learning: Online Courses to Learn Skills","EDUCATION",6673.4316,396371.74,"0","4+","Education",18000,4.6,4.4,"2018"
"86","Babbel – Learn Languages","EDUCATION",6673.4316,396371.74,"0","4+","Education",21000,4.3,4.4,"2018"
"87","Learn English with Phrases","EDUCATION",5695,396371.74,"0","4+","Education",2200,4.2,2.3,"2017"
"88","Free english course","EDUCATION",6673.4316,396371.74,"0","4+","Education",6900,4.7,4.1,"2018"
"89","Learn 50 languages","EDUCATION",6673.4316,396371.74,"0","4+","Education",14000,4.4,4,"2018"
"90","Rosetta Stone: Learn to Speak & Read New Languages","EDUCATION",6673.4316,396371.74,"0","4+","Education",41465.92,4.5,5,"2018"
"91","Babbel – Learn Spanish","EDUCATION",6673.4316,396371.74,"0","4+","Education",11000,4.4,4.4,"2018"
"92","Mango Languages: Lovable Language Courses","EDUCATION",4815,396371.74,"0","4+","Education",19000,4,4.2,"2018"
"93","Learn English with Aco","EDUCATION",6673.4316,396371.74,"0","4+","Education",6500,4.6,4.1,"2017"
"94","Learn to Speak English","EDUCATION",6673.4316,396371.74,"0","4+","Education",7000,4.4,4,"2018"
"95","Learn English with Wlingua","EDUCATION",6673.4316,396371.74,"0","4+","Education",3300,4.7,4,"2018"
"96","busuu: Learn Languages - Spanish, English & More","EDUCATION",6673.4316,396371.74,"0","9+","Education",21000,4.3,5,"2018"
"97","My Class Schedule: Timetable","EDUCATION",6673.4316,396371.74,"0","4+","Education",3700,4.1,4.1,"2016"
"98","Study Checker","EDUCATION",3816,396371.74,"0","4+","Education",2600,4.2,2.3,"2016"
"99","My Study Life - School Planner","EDUCATION",6673.4316,396371.74,"0","4+","Education",21000,4.3,4,"2017"
"100","HomeWork","EDUCATION",6673.4316,396371.74,"0","4+","Education",5200,4.3,4,"2016"
"101","Next Gen Science Standards","EDUCATION",206,50000,"0","4+","Education",18000,4.3,2.3,"2016"
"102","myHomework Student Planner","EDUCATION",6673.4316,396371.74,"0","4+","Education",3800,4,2.3,"2018"
"103","Teacher's Gradebook - Additio","EDUCATION",3241,100000,"0","4+","Education",16000,4.2,4,"2018"
"104","Common Core","EDUCATION",835,100000,"0","4+","Education",15000,4,2.3,"2016"
"105","Homework Planner","EDUCATION",2525,100000,"0","4+","Education",1200,4,4,"2015"
"106","TeachersPayTeachers","EDUCATION",828,100000,"0","4+","Education",18000,3.8,4.3,"2017"
"107","Edmodo","EDUCATION",6673.4316,396371.74,"0","4+","Education",18000,4.1,4,"2018"
"108","Socrative Teacher","EDUCATION",1239,100000,"0","4+","Education",1800,3.9,3.2,"2016"
"109","Training schedule - AllUniver","EDUCATION",702,10000,"0","4+","Education",7600,4.1,4.4,"2017"
"110","Remind: School Communication","EDUCATION",6673.4316,396371.74,"0","4+","Education",13000,4.5,4.1,"2018"
"111","Google Classroom","EDUCATION",6673.4316,396371.74,"0","4+","Education",5100,4.2,4,"2018"
"112","ClassDojo","EDUCATION",6673.4316,396371.74,"0","4+","Education",41465.92,4.4,4.1,"2018"
"113","Lerni. Learn languages.","EDUCATION",3847,396371.74,"0","4+","Education",6900,4,3,"2017"
"114","HelloTalk — Chat, Speak & Learn Foreign Languages","EDUCATION",6673.4316,396371.74,"0","4+","Education",41000,4.4,4.1,"2018"
"115","Learn languages, grammar & vocabulary with Memrise","EDUCATION",6673.4316,396371.74,"0","4+","Education",22000,4.7,4,"2018"
"116","Innovative: Learn 34 Languages","EDUCATION",6673.4316,396371.74,"0","4+","Education",21000,4.5,3,"2018"
"117","busuu: Learn Languages - Spanish, English & More","EDUCATION",6673.4316,396371.74,"0","9+","Education",21000,4.3,5,"2018"
"118","Chegg Study - Homework Help","EDUCATION",6673.4316,396371.74,"0","4+","Education",21000,4.3,4.4,"2018"
"119","Canvas Student","EDUCATION",6673.4316,396371.74,"0","4+","Education",8800,4.5,4.3,"2018"
"120","Timetable","EDUCATION",6673.4316,396371.74,"0","4+","Education",38000,4.2,2.2,"2018"
"121","EasyBib: Citation Generator","EDUCATION",1405,100000,"0","4+","Education",7300,3.5,4,"2018"
"122","ClassDojo","EDUCATION",6673.4316,396371.74,"0","4+","Education",41465.92,4.4,4.1,"2018"
"123","HelloTalk — Chat, Speak & Learn Foreign Languages","EDUCATION",6673.4316,396371.74,"0","4+","Education",41000,4.4,4.1,"2018"
"124","SoloLearn: Learn to Code for Free","EDUCATION",6673.4316,396371.74,"0","12+","Education",7600,4.8,4,"2018"
"125","Kids Learn Languages by Mondly","EDUCATION",2078,100000,"0","4+","Education",8800,4.4,4.1,"2017"
"126","Blinkist - Nonfiction Books","EDUCATION",6673.4316,396371.74,"0","4+","Education",13000,4.1,4.1,"2018"
"127","Sago Mini Hat Maker","EDUCATION",11,1000,"1","4+","Education",41465.92,4.9,4,"2017"
"128","Fuzzy Numbers: Pre-K Number Foundation","EDUCATION",21,1000,"1","4+","Education",41465.92,4.7,4.1,"2017"
"129","Toca Life: City","EDUCATION",6673.4316,396371.74,"1","4+","Education",24000,4.7,4.4,"2018"
"130","Toca Life: Hospital","EDUCATION",3528,100000,"1","4+","Education",24000,4.7,4.4,"2018"
"131","ROBLOX","GAME",6673.4316,396371.74,"0","9+","Adventure",41465.92,4.5,4.1,"2018"
"132","Subway Surfers","GAME",6673.4316,396371.74,"0","9+","Arcade",41465.92,4.5,4.1,"2018"
"133","Candy Crush Saga","GAME",6673.4316,396371.74,"0","4+","Casual",41465.92,4.4,4.1,"2018"
"134","Solitaire","GAME",6673.4316,396371.74,"0","4+","Card",23000,4.7,4.1,"2018"
"135","Bubble Shooter","GAME",6673.4316,396371.74,"0","4+","Casual",41465.92,4.5,4,"2018"
"136","Hello Kitty Nail Salon","GAME",6673.4316,396371.74,"0","4+","Casual",24000,4.2,4.1,"2018"
"137","slither.io","GAME",6673.4316,396371.74,"0","4+","Action",2200,4.4,2.3,"2017"
"138","Clash Royale","GAME",6673.4316,396371.74,"0","9+","Strategy",41465.92,4.6,4.1,"2018"
"139","Temple Run 2","GAME",6673.4316,396371.74,"0","4+","Action",41465.92,4.3,4,"2018"
"140","Pou","GAME",6673.4316,396371.74,"0","4+","Casual",24000,4.3,4,"2018"
"141","Helix Jump","GAME",6673.4316,396371.74,"0","4+","Action",33000,4.2,4.1,"2018"
"142","Block Puzzle","GAME",6673.4316,396371.74,"0","4+","Puzzle",7800,4.6,2.3,"2018"
"143","Angry Birds Rio","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.4,4.1,"2018"
"144","Plants vs. Zombies FREE","GAME",6673.4316,396371.74,"0","9+","Strategy",41465.92,4.4,4.1,"2018"
"145","Sonic Dash","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.5,4.1,"2018"
"146","Candy Crush Soda Saga","GAME",6673.4316,396371.74,"0","4+","Casual",41465.92,4.4,4.1,"2018"
"147","Zombie Hunter King","GAME",6673.4316,396371.74,"0","17+","Action",41465.92,4.3,2.3,"2018"
"148","Clash of Clans","GAME",6673.4316,396371.74,"0","9+","Strategy",41465.92,4.6,4.1,"2018"
"149","Kick the Buddy","GAME",6673.4316,396371.74,"0","12+","Action",9600,4.3,4.4,"2018"
"150","Block Puzzle Classic Legend !","GAME",6673.4316,396371.74,"0","4+","Puzzle",4900,4.2,2.3,"2018"
"151","PAC-MAN","GAME",6673.4316,396371.74,"0","4+","Arcade",37000,4.2,4.1,"2018"
"152","Super Jim Jump - pixel 3d","GAME",6673.4316,396371.74,"0","4+","Arcade",18000,4.5,4,"2018"
"153","8 Ball Pool","GAME",6673.4316,396371.74,"0","4+","Sports",41465.92,4.5,4,"2018"
"154","Magic Tiles 3","GAME",6673.4316,396371.74,"0","4+","Music",17000,4.5,4.1,"2018"
"155","Bubble Witch 3 Saga","GAME",6673.4316,396371.74,"0","4+","Puzzle",41465.92,4.7,3,"2018"
"156","Word Search","GAME",6673.4316,396371.74,"0","4+","Word",3900,4.7,3,"2018"
"157","Granny","GAME",6673.4316,396371.74,"0","12+","Arcade",41465.92,4.5,4,"2018"
"158","Angry Birds Classic","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.4,4.1,"2018"
"159","Flow Free","GAME",6673.4316,396371.74,"0","4+","Puzzle",11000,4.3,4.1,"2018"
"160","Race the Traffic Moto","GAME",6673.4316,396371.74,"0","12+","Racing",38000,3.8,4,"2018"
"161","Fishdom","GAME",6673.4316,396371.74,"0","4+","Puzzle",37000,4.6,4,"2018"
"162","Galaxy Attack: Alien Shooter","GAME",6673.4316,396371.74,"0","4+","Arcade",33000,4.6,4.1,"2018"
"163","Zombie Tsunami","GAME",6673.4316,396371.74,"0","9+","Arcade",27000,4.4,4.1,"2018"
"164","Bubble Shooter 2","GAME",6673.4316,396371.74,"0","4+","Arcade",13000,4.3,4.1,"2018"
"165","Barbie™ Fashion Closet","GAME",6673.4316,396371.74,"0","4+","Casual",41465.92,4.1,4.1,"2018"
"166","Candy Crush Jelly Saga","GAME",6673.4316,396371.74,"0","4+","Puzzle",41465.92,4.3,4,"2018"
"167","Hill Climb Racing","GAME",6673.4316,396371.74,"0","4+","Racing",41465.92,4.4,4.2,"2018"
"168","Gardenscapes","GAME",6673.4316,396371.74,"0","4+","Casual",12000,4.6,4,"2018"
"169","Marble - Temple Quest","GAME",6673.4316,396371.74,"0","4+","Puzzle",24000,4.3,4,"2018"
"170","Shooting King","GAME",6673.4316,396371.74,"0","9+","Sports",41465.92,4.4,4,"2018"
"171","Zombie Catchers","GAME",6673.4316,396371.74,"0","4+","Action",41465.92,4.7,4.1,"2018"
"172","Minion Rush: Despicable Me Official Game","GAME",6673.4316,396371.74,"0","9+","Casual",41465.92,4.5,4.1,"2018"
"173","Farm Heroes Saga","GAME",6673.4316,396371.74,"0","4+","Casual",41465.92,4.4,2.3,"2018"
"174","Geometry Dash World","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.6,4,"2017"
"175","My Talking Angela","GAME",6673.4316,396371.74,"0","4+","Casual",41465.92,4.5,4.1,"2018"
"176","Cut the Rope FULL FREE","GAME",6673.4316,396371.74,"0","4+","Puzzle",41465.92,4.4,4.1,"2018"
"177","Sniper 3D Gun Shooter: Free Shooting Games - FPS","GAME",6673.4316,396371.74,"0","17+","Action",12000,4.6,4.2,"2018"
"178","Subway Surfers","GAME",6673.4316,396371.74,"0","9+","Arcade",41465.92,4.5,4.1,"2018"
"179","ROBLOX","GAME",6673.4316,396371.74,"0","9+","Adventure",41465.92,4.5,4.1,"2018"
"180","Pou","GAME",6673.4316,396371.74,"0","4+","Casual",24000,4.3,4,"2018"
"181","8 Ball Pool","GAME",6673.4316,396371.74,"0","4+","Sports",41465.92,4.5,4,"2018"
"182","Candy Crush Saga","GAME",6673.4316,396371.74,"0","4+","Casual",41465.92,4.4,4.1,"2018"
"183","Plants vs. Zombies FREE","GAME",6673.4316,396371.74,"0","9+","Strategy",41465.92,4.4,4.1,"2018"
"184","Cooking Fever","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.5,4,"2018"
"185","Toon Blast","GAME",6673.4316,396371.74,"0","4+","Puzzle",41465.92,4.7,4.1,"2018"
"186","Score! Hero","GAME",6673.4316,396371.74,"0","4+","Sports",41465.92,4.6,4.4,"2018"
"187","My Talking Angela","GAME",6673.4316,396371.74,"0","4+","Casual",41465.92,4.5,4.1,"2018"
"188","Bubble Shooter","GAME",6673.4316,396371.74,"0","4+","Casual",41465.92,4.5,4,"2018"
"189","Toy Blast","GAME",6673.4316,396371.74,"0","4+","Puzzle",7500,4.7,4.1,"2018"
"190","Miraculous Ladybug & Cat Noir - The Official Game","GAME",6673.4316,396371.74,"0","4+","Action",41465.92,4.5,4.4,"2018"
"191","Wordscapes","GAME",6673.4316,396371.74,"0","4+","Word",41465.92,4.8,4.1,"2018"
"192","Word Search","GAME",6673.4316,396371.74,"0","4+","Word",3900,4.7,3,"2018"
"193","Candy Crush Soda Saga","GAME",6673.4316,396371.74,"0","4+","Casual",41465.92,4.4,4.1,"2018"
"194","Garena Free Fire","GAME",6673.4316,396371.74,"0","12+","Action",41465.92,4.5,4,"2018"
"195","Block Puzzle","GAME",6673.4316,396371.74,"0","4+","Puzzle",7800,4.6,2.3,"2018"
"196","Bowmasters","GAME",6673.4316,396371.74,"0","12+","Action",15000,4.7,4.1,"2018"
"197","Clash Royale","GAME",6673.4316,396371.74,"0","9+","Strategy",41465.92,4.6,4.1,"2018"
"198","My Talking Tom","GAME",6673.4316,396371.74,"0","4+","Casual",17000,4.5,4.1,"2018"
"199","Sniper 3D Gun Shooter: Free Shooting Games - FPS","GAME",6673.4316,396371.74,"0","17+","Action",41465.92,4.6,4,"2018"
"200","Granny","GAME",6673.4316,396371.74,"0","12+","Arcade",41465.92,4.5,4,"2018"
"201","Angry Birds Rio","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.4,4.1,"2018"
"202","Zombie Catchers","GAME",6673.4316,396371.74,"0","4+","Action",41465.92,4.7,4.1,"2018"
"203","Zombie Hunter King","GAME",6673.4316,396371.74,"0","17+","Action",41465.92,4.3,2.3,"2018"
"204","Temple Run 2","GAME",6673.4316,396371.74,"0","4+","Action",41465.92,4.3,4,"2018"
"205","Zombie Tsunami","GAME",6673.4316,396371.74,"0","9+","Arcade",6000,4.4,4,"2018"
"206","Jungle Marble Blast","GAME",6673.4316,396371.74,"0","4+","Casual",23000,4.3,4,"2018"
"207","Rider","GAME",6673.4316,396371.74,"0","12+","Arcade",41465.92,4.5,4,"2017"
"208","Farm Heroes Saga","GAME",6673.4316,396371.74,"0","4+","Casual",41465.92,4.4,2.3,"2018"
"209","Super Jim Jump - pixel 3d","GAME",6673.4316,396371.74,"0","4+","Arcade",18000,4.5,4,"2018"
"210","slither.io","GAME",6673.4316,396371.74,"0","4+","Action",8900,4.4,2.3,"2017"
"211","Roll the Ball® - slide puzzle","GAME",6673.4316,396371.74,"0","4+","Puzzle",35000,4.5,4.1,"2018"
"212","Talking Tom Gold Run","GAME",6673.4316,396371.74,"0","4+","Action",41465.92,4.6,4.1,"2018"
"213","Pixel Art: Color by Number Game","GAME",6673.4316,396371.74,"0","4+","Puzzle",25000,4.7,4.3,"2018"
"214","Dream League Soccer 2018","GAME",6673.4316,396371.74,"0","4+","Sports",41465.92,4.6,4.4,"2018"
"215","Angry Birds Classic","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.4,4.1,"2018"
"216","Fruits Bomb","GAME",6673.4316,396371.74,"0","4+","Casual",17000,4.4,4,"2018"
"217","Traffic Racer","GAME",6673.4316,396371.74,"0","4+","Racing",41465.92,4.5,4.1,"2018"
"218","Hill Climb Racing 2","GAME",6673.4316,396371.74,"0","4+","Racing",23000,4.6,4.2,"2018"
"219","Flow Free","GAME",6673.4316,396371.74,"0","4+","Puzzle",11000,4.3,4.1,"2018"
"220","Knife Hit","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.5,4,"2018"
"221","Block Craft 3D: Building Simulator Games For Free","GAME",6673.4316,396371.74,"0","4+","Simulation",41465.92,4.5,4,"2018"
"222","Farm Fruit Pop: Party Time","GAME",6673.4316,396371.74,"0","4+","Casual",14000,4.4,4,"2018"
"223","ROBLOX","GAME",6673.4316,396371.74,"0","9+","Adventure",41465.92,4.5,4.1,"2018"
"224","Helix Jump","GAME",6673.4316,396371.74,"0","4+","Action",33000,4.2,4.1,"2018"
"225","Subway Surfers","GAME",6673.4316,396371.74,"0","9+","Arcade",41465.92,4.5,4.1,"2018"
"226","Toon Blast","GAME",6673.4316,396371.74,"0","4+","Puzzle",15000,4.7,4.1,"2018"
"227","Love Balls","GAME",6673.4316,396371.74,"0","4+","Puzzle",40000,4.2,4.1,"2018"
"228","Granny","GAME",6673.4316,396371.74,"0","12+","Arcade",41465.92,4.5,4,"2018"
"229","8 Ball Pool","GAME",6673.4316,396371.74,"0","4+","Sports",41465.92,4.5,4,"2018"
"230","slither.io","GAME",6673.4316,396371.74,"0","4+","Action",11000,4.4,2.3,"2017"
"231","Hungry Shark Evolution","GAME",6673.4316,396371.74,"0","12+","Arcade",41465.92,4.5,4.1,"2018"
"232","Magic Tiles 3","GAME",6673.4316,396371.74,"0","4+","Music",3700,4.5,4.1,"2018"
"233","Bowmasters","GAME",6673.4316,396371.74,"0","12+","Action",15000,4.7,4.1,"2018"
"234","Piano Tiles 2™","GAME",6673.4316,396371.74,"0","4+","Arcade",15000,4.7,4.1,"2018"
"235","Pokémon GO","GAME",6673.4316,396371.74,"0","4+","Adventure",41465.92,4.1,4.4,"2018"
"236","Wordscapes","GAME",6673.4316,396371.74,"0","4+","Word",41465.92,4.8,4.1,"2018"
"237","Paint Hit","GAME",6673.4316,396371.74,"0","4+","Casual",33000,4.4,5,"2018"
"238","Snake VS Block","GAME",6673.4316,396371.74,"0","12+","Arcade",32000,4.2,4.1,"2018"
"239","Rolly Vortex","GAME",6673.4316,396371.74,"0","12+","Arcade",40000,4.4,4.1,"2018"
"240","Woody Puzzle","GAME",6673.4316,396371.74,"0","4+","Puzzle",29000,4.7,4.4,"2018"
"241","Stack Jump","GAME",6673.4316,396371.74,"0","12+","Arcade",40000,4.3,4.1,"2018"
"242","Color by Number – New Coloring Book","GAME",6673.4316,396371.74,"0","9+","Board",24000,4.7,4.1,"2018"
"243","The Cube","GAME",6673.4316,396371.74,"0","4+","Arcade",38000,4.2,4.1,"2018"
"244","Extreme Car Driving Simulator","GAME",6673.4316,396371.74,"0","4+","Racing",41465.92,4.3,4,"2018"
"245","Bricks n Balls","GAME",6673.4316,396371.74,"0","4+","Casual",41465.92,4.4,4.1,"2018"
"246","The Fish Master!","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.1,4.1,"2018"
"247","Color Road","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.1,4.1,"2018"
"248","Draw In","GAME",6673.4316,396371.74,"0","4+","Arcade",41465.92,4.2,4.1,"2018"
"249","PLANK!","GAME",6673.4316,396371.74,"0","4+","Arcade",38000,4.7,4.3,"2018"
"250","Looper!","GAME",6673.4316,396371.74,"0","4+","Puzzle",41465.92,4.6,4.1,"2018"
